protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
P12612	YDR212W	TCP1		T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha)	TCP1 CCT1 YDR212W YD8142.13 YD8142B.04	559	2080	2901	2034	861	776	1071	978	2466	967
P12709	YBR196C	PGI1	5.3.1.9	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)	PGI1 YBR196C YBR1406	554	18168.0186	23387.92085	24313.86661	17998.39127	20801.27501	18553.6209	11965.17415	21517.12919	19518.19979
P12904	YGL115W	SNF4		5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4)	SNF4 CAT3 SCI1 YGL115W	322	902	1402	1516	932	1655	1545	1314	1358	1381
P13663	YDR158W	HOM2	1.2.1.11	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	HOM2 YDR158W YD8358.12	365	6724.340452	5672.870167	6634.297473	11311.90424	14159.91119	18005.36836	5577.306633	5575.143246	4629.802905
P14020	YPR183W	DPM1	2.4.1.83	Dolichol-phosphate mannosyltransferase (EC 2.4.1.83) (Dolichol-phosphate mannose synthase) (DPM synthase) (Dolichyl-phosphate beta-D-mannosyltransferase) (Mannose-P-dolichol synthase) (MPD synthase)	DPM1 SED3 YPR183W P9705.3	267	3768.96962	5276.490406	4881.633948	3809.495373	5818.349079	4883.193627	3021.412253	4823.117146	3950.065316
P14126	YOR063W	RPL3		60S ribosomal protein L3 (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)	RPL3 MAK8 TCM1 YOR063W YOR29-14	387	29634.07128	32124.38149	35961.04871	18352.61501	20888.308	20573.42818	21838.37185	29697.97893	27862.04346
P14832	YDR155C	CPR1	5.2.1.8	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)	CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C	162	29527	32176	44114	40739	43271	40636	29774	39516	36412
P14843	YDR035W	ARO3	2.5.1.54	"Phospho-2-dehydro-3-deoxyheptonate aldolase, phenylalanine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)"	ARO3 YDR035W YD9673.07	370	3087	3781	3075	5991	6916	7220	3206	3225	2356
P15019	YLR354C	TAL1	2.2.1.2	Transaldolase (EC 2.2.1.2)	TAL1 YLR354C L9638.6	335	20681.58847	20643.35271	22073.1045	15381.14704	16202.68668	14956.07863	18413.86408	19488.34242	16187.50206
P15180	YDR037W	KRS1	6.1.1.6	"Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)"	KRS1 GCD5 YDR037W YD9673.09	591	7180.860587	8579.503932	8699.607492	5269.843407	7657.699104	7387.974461	4936.189332	7546.098974	6488.366308
P15303	YPR181C	SEC23		Protein transport protein SEC23	SEC23 YPR181C P9705.14	768	2336.038313	2476.092486	2042.997797	1858.867128	1895.151181	1808.755373	1782	2319.999138	2061.369205
P15454	YDR454C	GUK1	2.7.4.8	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	GUK1 YDR454C D9461.39	187	7633.044556	7683.473753	8834.769559	4215.858098	4950.38583	5996.996608	5990.533664	6243.871596	5505.739089
P15496	YPL117C	IDI1	5.3.3.2	Isopentenyl-diphosphate Delta-isomerase (EC 5.3.3.2) (Isopentenyl pyrophosphate isomerase) (IPP isomerase)	IDI1 BOT2 YPL117C LPH10C	288	3359	3454	3457	5149	5267	4419	3972	3799	3180
P15646	YDL014W	NOP1	2.1.1.-	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (U3 small nucleolar RNA-associated protein NOP1) (Nucleolar protein 1) (U3 snoRNA-associated protein NOP1)	NOP1 LOT3 YDL014W D2870	327	5591.243115	6758.399509	8511.783689	3691.773043	5593.641056	4118.741253	3766.199694	6789.910933	6283.99318
P15703	YGR282C	BGL2	3.2.1.58	"Glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase) (GP29) (Soluble cell wall protein 9)"	BGL2 SCW9 YGR282C	313	12119.83907	13149.06095	10448.44478	12634.23354	13710.15567	12051.89049	10689.38157	12437.9902	10511.91523
P15705	YOR027W	STI1		Heat shock protein STI1	STI1 YOR027W OR26.17	589	4067.060842	3762.587569	4399.790258	2592.711448	2959.759726	4068.412113	2884.764585	3937.11216	2567.941845
P15873	YBR088C	POL30		Proliferating cell nuclear antigen (PCNA)	POL30 YBR088C YBR0811	258	3385.150746	3679.861246	3273.56868	1567.185817	1873.733768	2367.857514	2540.818659	2878.387296	2106.556259
P15891	YCR088W	ABP1		Actin-binding protein	ABP1 YCR088W YCR88W	592	2336.607593	2904.282355	2533.019741	3085.962623	3474.829729	2982.812405	1964.86335	3012.94102	2200.530237
P15992	YBR072W	HSP26		Heat shock protein 26 (26 kDa heat shock protein)	HSP26 YBR072W YBR0714	214	19590.04716	20843.71342	21311.83392	15748.57524	13790.4781	15985.43327	17039.66618	17079.61226	15589.45487
P16120	YCR053W	THR4	4.2.3.1	Threonine synthase (TS) (EC 4.2.3.1)	THR4 YCR053W YCR53W	514	6851.730342	7720.786191	7414.982733	8433.54547	10731.10226	10108.48052	5310.623333	7992.728862	6977.412458
P16140	YBR127C	VMA2		V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B)	VMA2 VAT2 YBR127C YBR1002	517	10448.89396	10897.99011	11614.20906	5485.10561	6862.709005	7354.637093	7650.169881	9934.789979	8179.245027
P16387	YER178W	PDA1	1.2.4.1	"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)"	PDA1 YER178W	420	3808.024366	3947.063762	3830.342995	4809.319565	5752.943226	5645.486667	3601.401784	4251.251558	3871.616638
P16451	YGR193C	PDX1		"Pyruvate dehydrogenase complex protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (Pyruvate dehydrogenase complex component E3BP)"	PDX1 YGR193C G7579	410	1284	1538	1856	840	1785	1664	995	1224	1489
P16474	YJL034W	KAR2		78 kDa glucose-regulated protein homolog (GRP-78) (Immunoglobulin heavy chain-binding protein homolog) (BiP)	KAR2 GRP78 SSD1 YJL034W J1248	682	10498.51467	11644.61533	11037.4535	5119.154381	8272.614924	7200.639647	5360.150451	11219.94453	9273.138363
P16521	YLR249W	YEF3		Elongation factor 3A (EF-3) (EF-3A) (Eukaryotic elongation factor 3) (eEF3) (Translation elongation factor 3A) (Yeast elongation factor 3)	YEF3 EFC1 TEF3 YEF3A YLR249W L9672.5	1044	17333.55604	19554.57705	20445.53134	10727.82858	11325.55321	11844.57364	12437.08497	16311.18546	13685.7542
P16861	YGR240C	PFK1	2.7.1.11	6-phosphofructokinase subunit alpha (EC 2.7.1.11) (6PF-1-K subunit alpha) (Phosphofructokinase 1) (Phosphohexokinase)	PFK1 YGR240C G8599	987	4933.555486	5720.420164	5126.081271	4160.276912	5084.520747	5037.171313	3133.154624	4681.74388	4589.052288
P16862	YMR205C	PFK2	2.7.1.11	6-phosphofructokinase subunit beta (EC 2.7.1.11) (6PF-1-K subunit beta) (Phosphofructokinase 2) (Phosphohexokinase)	PFK2 YMR205C YM8325.06C	959	3017.402876	3811.414999	3663.445107	2771.748357	3417.295399	3082.336073	1762.404959	2974.817315	3023.220528
P17255	YDL185W	TFP1	3.6.3.14	V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 3.6.3.14) (Vacuolar proton pump subunit A) [Cleaved into: Endonuclease PI-SceI (EC 3.1.-.-) (Sce VMA intein) (VMA1-derived endonuclease) (VDE)]	VMA1 CLS8 TFP1 YDL185W D1286	1071	9831.037607	11169.43694	10773.55482	7473.395358	9557.253041	8929.74621	7533.755978	10127.00195	8832.036129
P17505	YKL085W	MDH1	1.1.1.37	"Malate dehydrogenase, mitochondrial (EC 1.1.1.37)"	MDH1 YKL085W	334	5461.234513	5910.607696	6308.874055	2842.415644	3405.677973	3808.475355	4134.386665	5199.358375	3893.277149
P17709	YCL040W	GLK1	2.7.1.2	Glucokinase-1 (EC 2.7.1.2) (Glucose kinase 1) (GLK-1)	GLK1 HOR3 YCL040W YCL312 YCL40W	500	13452	11963	9963	10029	7215	8914	12947	8162	6425
P17967	YCL043C	PDI1	5.3.4.1	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Thioredoxin-related glycoprotein 1)	PDI1 MFP1 TRG1 YCL043C YCL313 YCL43C	522	5069.850112	5931.296305	7367.302845	3309.11873	4151.068483	3955.703489	4147.661756	5175.978688	4971.711823
P18239	YBL030C	PET9		"ADP,ATP carrier protein 2 (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2) (Petite colonies protein 9)"	PET9 AAC2 YBL030C YBL0421	318	11551.74558	11418.17341	12617.31727	6243.657342	7818.157328	7137.225091	8763.274274	10103.04202	8230.503569
P18562	YHR128W	FUR1	2.4.2.9	Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9) (UMP pyrophosphorylase)	FUR1 YHR128W	216	6768	6253	5498	3519	4472	4925	4948	5674	7955
P19097	YPL231W	FAS2	2.3.1.86	Fatty acid synthase subunit alpha (EC 2.3.1.86) [Includes: Acyl carrier; 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (Beta-ketoacyl reductase); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41) (Beta-ketoacyl synthase)]	FAS2 YPL231W P1409	1887	3052.225428	3807.478932	2976.101143	6088.471775	6228.733628	4772.832405	2007.704171	3364.810983	3163.689937
P19358	YDR502C	SAM2	2.5.1.6	S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	SAM2 ETH2 YDR502C D9719.8	384	17559.10869	16426.17068	15926.28827	8141.079918	9219.170905	9574.021296	11432.53093	14291.13371	10763.78877
P19414	YLR304C	ACO1	4.2.1.3	"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)"	ACO1 GLU1 YLR304C L8003.22	778	5220.716793	6625.480702	5581.104076	2883.421379	3499.315347	2681.471846	3094.067211	5108.863532	4222.505241
P19882	YLR259C	HSP60		"Heat shock protein 60, mitochondrial (CPN60) (P66) (Stimulator factor I 66 kDa component)"	HSP60 MIF4 YLR259C L8479.10	572	9252.52698	10181.25251	9876.008746	6452.522867	7537.808929	7810.593703	7020.798967	9474.907533	8214.11551
P20081	YNL135C	FPR1	5.2.1.8	FK506-binding protein 1 (FKBP) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (EC 5.2.1.8) (Rapamycin-binding protein)	FPR1 FKB1 RBP1 YNL135C N1213 N1845	114	14367.40645	18377.02805	18739.61697	16700.66481	20853.63141	17656.01773	13916.07682	18533.37827	16155.57959
P20436	YOR224C	RPB8		"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)"	RPB8 YOR224C YOR50-14	146	6022	9930	11026	3339	7916	6794	3671	9292	7796
P20459	YJR007W	SUI2		Eukaryotic translation initiation factor 2 subunit alpha (eIF-2-alpha)	SUI2 TIF211 YJR007W J1429	304	2107.755678	2125.154347	2099.988571	1456.381818	1547.346115	1784.771134	1478.655132	2092.737442	1485.589109
P20606	YPL218W	SAR1	3.6.5.-	Small COPII coat GTPase SAR1 (EC 3.6.5.-) (GTP-binding protein SAR1) (Secretion-associated RAS-related protein 1)	SAR1 YPL218W	190	6460	7467	7685	5790	6243	9019	7494	5807	5436
P21242	YOR362C	PRE10	3.4.25.1	Probable proteasome subunit alpha type-7 (EC 3.4.25.1) (Macropain subunit C1) (Multicatalytic endopeptidase complex subunit C1) (Proteasome component C1) (Proteinase YSCE subunit 1)	PRE10 PRC1 PRS1 YOR362C O6650	288	3310	3930	3503	2932	3858	3551	2750	3490	2729
P21243	YGL011C	SCL1	3.4.25.1	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C7-alpha) (Multicatalytic endopeptidase complex C7) (Proteasome component C7-alpha) (Proteasome component Y8) (Proteinase YSCE subunit 7) (SCL1 suppressor protein)	SCL1 PRC2 PRS2 YGL011C	252	2933.011081	2601.514559	1968.723444	2404.912057	2711.764186	1900.594907	2632.936573	2214.442142	2469.637828
P21304	YLR196W	PWP1		Periodic tryptophan protein 1	PWP1 YLR196W L8167.10	576	1391	1092	1236	1169	1326	1306	1146	1267	1311
P21576	YKR001C	VPS1		Vacuolar protein sorting-associated protein 1	VPS1 LAM1 SPO15 YKR001C	704	2345.138891	2495.352372	2063.894968	1836.430454	1940.98707	1624.845167	1705.171862	2314.502964	1830.138223
P21954	YDL066W	IDP1	1.1.1.42	"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)"	IDP1 YDL066W	428	7687.376709	9622.005554	8583.965677	11135.11129	14529.57328	14250.62652	5347.338273	8934.535094	7278.262919
P22146	YMR307W	GAS1	2.4.1.-	"1,3-beta-glucanosyltransferase GAS1 (EC 2.4.1.-) (Glycolipid-anchored surface protein 1) (Glycoprotein GP115)"	GAS1 GGP1 YMR307W YM9952.09	559	5398.68484	6316.307782	5804.29858	3852.891901	4040.281673	3484.245686	4349.319487	5449.967706	4812.243759
P22203	YOR332W	VMA4		V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)	VMA4 VAT5 YOR332W O6241	233	7742.552806	8908.398918	9832.228691	5403.537554	6626.169232	6507.828251	6289.481557	9218.778171	7027.272066
P22217	YLR043C	TRX1		Thioredoxin-1 (Thioredoxin I) (TR-I) (Thioredoxin-2)	TRX1 TRX2 YLR043C	103	11769.52738	11596.04793	13724.05034	12128.35037	12797.86028	11027.45714	12876.31397	11719.67894	10308.18479
P22336	YAR007C	RFA1		Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	RFA1 BUF2 RPA1 YAR007C FUN3	621	1244	916	910	918	886	618	887	981	769
P22515	YKL210W	UBA1		Ubiquitin-activating enzyme E1 1	UBA1 YKL210W	1024	3467	3003	2160	3597	3077	2690	3008	3327	2773
P22768	YOL058W	ARG1	6.3.4.5	Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)	ARG1 YOL058W O1228	420	6167.17872	6811.671552	6158.613366	18417.67107	13885.94807	20615.04707	4543.617867	5217.592801	5253.697642
P22803	YGR209C	TRX2		Thioredoxin-2 (Thioredoxin II) (TR-II) (Thioredoxin-1)	TRX2 TRX1 YGR209C G7746	104	30402.81561	34973.08951	36206.05988	39357.6218	40211.38973	39505.71275	32421.37929	33166.90148	29157.71678
P23180	YHL021C	AIM17	1.14.11.-	"Probable oxidoreductase AIM17 (EC 1.14.11.-) (Altered inheritance of mitochondria protein 17, mitochondrial) (Found in mitochondrial proteome protein 12)"	AIM17 FMP12 YHL021C	465	1701	1583	1640	3760	4683	4868	1836	2017	1716
P23248	YML063W	RPS1b		40S ribosomal protein S1-B (RP10B)	RPS1B PLC2 RPS10B YML063W	255	40583	46120	41743	25678	28801	27417	37204	42486	33550
P23254	YPR074C	TKL1	2.2.1.1	Transketolase 1 (TK 1) (EC 2.2.1.1)	TKL1 YPR074C YP9499.29C	680	13895.12319	16010.35539	15016.47094	10054.07175	11757.27556	11127.44438	8400.398326	14727.82491	9549.017506
P23301	YEL034W	HYP2		Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (Hypusine-containing protein HP2) (eIF-4D)	HYP2 TIF51A YEL034W SYGP-ORF21	157	56925.47505	62200.10092	61118.30214	36193.93165	39193.30502	40932.27315	49161.85274	54209.69461	48245.13953
P23542	YLR027C	AAT2	2.6.1.1	"Aspartate aminotransferase, cytoplasmic (EC 2.6.1.1) (Transaminase A)"	AAT2 ASP5 YLR027C L1746	418	5224.589668	5387.864484	5216.709626	6911.323355	8407.842468	8106.539425	4193.827614	4987.442153	4048.000627
P23641	YJR077C	MIR1		"Mitochondrial phosphate carrier protein (Mitochondrial import receptor) (Phosphate transport protein) (PTP) (mPic 1) (p32) [Cleaved into: Mitochondrial phosphate carrier protein, N-terminally processed]"	MIR1 YJR077C J1837	311	7456.034857	8638.016036	6487.40178	5115.534768	5548.444826	5453.17709	6286.008792	7395.939849	4617.054693
P23644	YMR203W	TOM40		Mitochondrial import receptor subunit TOM40 (Mitochondrial import site protein ISP42) (Translocase of outer membrane 40 kDa subunit)	TOM40 ISP42 MOM38 YMR203W YM8325.04	387	4782.166873	5729.681667	4932.51741	3794.741757	4551.41835	4552.966505	4193.269607	5154.47621	3856.913533
P23724	YBL041W	PRE7	3.4.25.1	Proteasome subunit beta type-6 (EC 3.4.25.1) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5)	PRE7 PRS3 PTS1 YBL041W YBL0407	241	4027	3691	3478	2589	2931	3411	2900	3515	2905
P23776	YLR300W	EXG1	3.2.1.58	"Glucan 1,3-beta-glucosidase I/II (EC 3.2.1.58) (Exo-1,3-beta-glucanase I/II) (Soluble cell wall protein 6)"	EXG1 BGL1 SCW6 YLR300W L8003.3	448	3829	3567	3232	1286	1565	1241	2962	3658	2758
P24000	YGR148C	RPL24b		60S ribosomal protein L24-B (L30) (RP29) (YL21)	RPL24B RPL30B YGR148C G6635	155	33101	32029	35088	19378	22115	21942	24122	28124	28857
P24783	YNL112W	DBP2	3.6.4.13	ATP-dependent RNA helicase DBP2 (EC 3.6.4.13) (DEAD box protein 2) (p68-like protein)	DBP2 YNL112W N1945	546	4139.379587	4230.248924	3573.888645	2396.455303	2471.81042	2410.766731	2846.769443	3782.019614	3257.041485
P24784	YPL119C	DBP1	3.6.4.13	ATP-dependent RNA helicase DBP1 (EC 3.6.4.13) (DEAD box protein 1) (Helicase CA1)	DBP1 YPL119C LPH8C	617	1232	1111	1315	611	934	1156	707	1181	1077
P25087	YML008C	ERG6	2.1.1.41	Sterol 24-C-methyltransferase (EC 2.1.1.41) (Delta(24)-sterol C-methyltransferase)	ERG6 ISE1 LIS1 SED6 YML008C YM9571.10C	383	7261.900626	7153.959927	6465.252621	8155.727929	9266.342468	8754.653096	6539.095803	7462.950106	5859.957713
P25293	YKR048C	NAP1		Nucleosome assembly protein	NAP1 YKR048C	417	6847.35438	7963.842289	7081.428105	3966.099847	5423.393771	5002.057177	4830.032712	7085.161607	5518.627547
P25294	YNL007C	SIS1		Protein SIS1	SIS1 YNL007C N2879	352	5896.013638	5212.479087	4458.579552	6541.645637	6504.269476	5905.443284	5112.267788	5349.076735	4604.551692
P25349	YCR004C	YCP4		Flavoprotein-like protein YCP4	YCP4 YCR004C YCR042 YCR4C	247	9324	9067	9229	6790	8251	5490	7365	8842	7750
P25443	YGL123W	RPS2		40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (YS5)	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	254	28452.49021	34820.00148	35628.10835	21293.81212	21409.29075	23159.77348	22470.37114	31293.56511	27576.90695
P25555	YCL011C	GBP2		Single-strand telomeric DNA-binding protein GBP2 (G-strand-binding protein 2) (RAP1 localization factor 6)	GBP2 RLF6 YCL011C YCL11C	427	1616	1685	1695	1233	1365	1151	1355	1773	1572
P25567	YCL037C	SRO9		RNA-binding protein SRO9 (Suppressor of RHO3 protein 9)	SRO9 YCL037C YCL37C	434	5453.984604	6157.033654	4826.026518	3264.494939	3625.970497	3330.747733	4246.313311	4948.702722	4065.275846
P25605	YCL009C	ILV6		"Acetolactate synthase small subunit, mitochondrial (Acetohydroxy-acid synthase small subunit) (AHAS) (ALS)"	ILV6 YCL009C YCL9C	309	2868	6143	6482	5891	14955	10105	3042	7964	6578
P25719	YML078W	CPR3	5.2.1.8	"Peptidyl-prolyl cis-trans isomerase C, mitochondrial (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (PPI-III) (Rotamase C)"	CPR3 CYP3 YML078W	182	4829	4050	4137	6148	4888	6358	5536	4758	4346
P26321	YPL131W	RPL5		60S ribosomal protein L5 (L1) (L1a) (Ribosomal 5S RNA-binding protein) (YL3)	RPL5 RPL1 RPL1A YPL131W LPI14W	297	43149.37873	49773.62451	59551.16205	25911.18548	30467.442	34682.53875	33497.38844	45826.33736	38479.95303
P26637	YPL160W	CDC60	6.1.1.4	"Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)"	CDC60 YPL160W P2564	1090	3993.46419	4548.547513	4051.834418	4320.931243	4414.369294	3970.744434	2694.522524	3802.286223	3467.51346
P26784	YIL133C	RPL16a		60S ribosomal protein L16-A (L13a) (L21) (RP22) (YL15)	RPL16A RPL13 RPL21A YIL133C	199	19610.22336	17071.76209	16224.07349	11931.80027	12555.20088	10979.16511	14390.79313	15616.87047	13730.16562
P26785	YNL069C	RPL16b		60S ribosomal protein L16-B (L21) (RP23) (YL15)	RPL16B RP23 RPL21B YNL069C N2377	198	31788.80641	30604.18304	36206.0526	13324.23247	17331.86623	20661.47032	22317.48631	26848.29076	21844.53047
P26786	YOR096W	RPS7a		40S ribosomal protein S7-A (RP30) (RP40)	RPS7A RPS30 YOR096W YOR3177W	190	42943.98864	45831.94243	38691.89998	20001.38995	25815.32739	31176.47863	35094.6216	37515.0517	29074.07539
P27476	YGR159C	NSR1		Nuclear localization sequence-binding protein (p67)	NSR1 YGR159C G7001	414	7368.180237	8885.114968	7905.740003	3901.808811	5713.053824	5210.142512	5398.288618	8145.634536	6527.883501
P27614	YJL172W	CPS1	3.4.17.4	Carboxypeptidase S (EC 3.4.17.4) (GLY-X carboxypeptidase) (YSCS)	CPS1 CPS YJL172W J0510	576	3404	3532	3684	2669	3771	3481	2971	4708	4024
P27616	YAR015W	ADE1	6.3.2.6	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	ADE1 YAR015W	306	1631.617836	2323.918789	2146.55689	1875.635973	2600.980139	2515.853663	1211.544834	1903.636877	1669.349589
P27809	YDR483W	KRE2	2.4.1.-	"Glycolipid 2-alpha-mannosyltransferase (EC 2.4.1.-) (Alpha-1,2-mannosyltransferase)"	KRE2 MNT1 YDR483W D8035.26	442	1990	2383	1902	1324	1809	1080	1927	2242	1869
P28007	YHR089C	GAR1		H/ACA ribonucleoprotein complex subunit 1 (snoRNP protein GAR1)	GAR1 YHR089C	205	2904	2603	3441	2042	2178	2016	2002	3498	3202
P28241	YOR136W	IDH2	1.1.1.41	"Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)"	IDH2 YOR136W O3326 YOR3326W	369	1992.882714	2657.892467	2360.621816	2238.729715	2554.219984	2520.468127	1690.275209	2194.927575	1872.565782
P28274	YBL039C	URA7	6.3.4.2	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1)	URA7 YBL039C YBL0410	579	3018	2657	3328	2680	1629	2117	2428	2992	2210
P28495	YKL007W	CAP1		F-actin-capping protein subunit alpha	CAP1 YKL007W YKL155	268	2594	2709	2344	2217	2847	2952	2607	2744	2147
P28707	YKL117W	SBA1		Co-chaperone protein SBA1	SBA1 YKL117W YKL518	216	3828	3561	4248	4729	4431	4003	4322	5261	4942
P28777	YGL148W	ARO2	4.2.3.5	Chorismate synthase (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	ARO2 YGL148W	376	6256.532266	6689.283968	6526.236281	6635.613009	9759.874999	8094.772881	4846.757163	7143.308757	5697.149638
P28834	YNL037C	IDH1	1.1.1.41	"Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial (EC 1.1.1.41) (Isocitric dehydrogenase) (NAD(+)-specific ICDH)"	IDH1 YNL037C N2690	360	3402.458798	3541.067153	2805.010758	5557.297616	5035.025148	4867.96411	3026.234979	3047.049942	2348.564437
P29311	YER177W	BMH1		Protein BMH1	BMH1 YER177W	267	7972	8555	12808	6872	7420	7710	4792	7147	6888
P29509	YDR353W	TRR1	1.8.1.9	Thioredoxin reductase 1 (EC 1.8.1.9)	TRR1 YDR353W D9476.5	319	8847.673593	9597.268726	8264.751962	6639.148289	5821.30226	5932.189309	7941.786323	7826.258365	5612.862906
P29704	YHR190W	ERG9	2.5.1.21	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase)	ERG9 YHR190W	444	2368	1762	1756	2599	2529	2170	2290	1487	1629
P29952	YER003C	PMI40	5.3.1.8	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	PMI40 YER003C	429	2806.238945	3065.924815	2995.421756	1964.907024	1975.238128	1884.184042	2029.345299	3113.007259	2334.730727
P30624	YOR317W	FAA1	6.2.1.3	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Fatty acid activator 1) (Long-chain acyl-CoA synthetase 1)	FAA1 YOR317W O6136	700	5537	5546	5705	2601	3458	4057	3976	4759	4856
P31116	YJR139C	HOM6	1.1.1.3	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)	HOM6 YJR139C J2132	359	11495.18462	13404.37166	13559.84356	11156.9633	12429.35295	11809.66702	9066.956004	13070.07324	11420.52415
P31373	YAL012W	CYS3	4.4.1.1	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	CYS3 CYI1 STR1 YAL012W FUN35	394	21077	23638	23204	17680	16489	22722	17873	20798	19660
P31412	YKL080W	VMA5		V-type proton ATPase subunit C (V-ATPase subunit C) (V-ATPase 42 kDa subunit) (Vacuolar proton pump subunit C)	VMA5 VAT3 VATC YKL080W YKL410	392	4160	3825	3680	3908	3012	2881	3422	3753	2794
P31539	YLL026W	HSP104		Heat shock protein 104 (Protein aggregation-remodeling factor HSP104)	HSP104 YLL026W L0948	908	3387.192847	3104.365957	3324.178872	3535.797854	4461.690816	3907.493394	2589.240362	3366.513518	2972.419844
P32074	YNL287W	SEC21		Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)	SEC21 YNL287W N0543	935	999	1137	869	672	755	766	774	1070	875
P32179	YOL064C	MET22	3.1.3.7	"3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (DPNPase) (Halotolerance protein HAL2) (Methionine-requiring protein 22)"	MET22 HAL2 YOL064C	357	618	683	771	1664	1391	2086	568	479	481
P32263	YER023W	PRO3	1.5.1.2	Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2)	PRO3 ORE2 YER023W	286	4424.760897	4740.101054	4758.514054	2880.25485	3419.618692	3366.106059	3936.508986	4116.684103	3985.477136
